Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,OAKLAND,3-26,DANFORTH ST. #1,125,DANFORTH ST. (from TREMONT to DANA STS.) - All // TREMONT ST. (from DANFORTH to FREMONT STS.) - ODD #s // FREMONT ST. (from TREMONT to CRAPO STS.) - All // CRAPO ST. - All // MAXWELL ST. - All // PINCKNEY ST. - All // GROSVENOR ST. - All // PERRY AVE. - All 
,,OAKLAND,3-27,DANFORTH ST. #2,200,DANFORTH ST. (from DANA ST. to HOPEWELL ST.) - All // CLARK AVE. - ALL SILVER GLEN CONDOMINIUMS - All // CHESTER ST. - All // CHESTER AVE. - All // CHESTER CT. - All // JOSEPH ST. - All // HOLYOKE ST. - All // LYNN ST. - All // BARTON ST. - All 
,,OAKLAND,3-28,HARVEY ST.,145,HARVEY ST. (from NORTON AVE. to S. CRANE AVE.) - All // S. CRANE AVE (from HARVEY ST. to INDUSTRIAL PARK) - All // BEAUFORD CT. - All // CRANE’ S LANDING - All // LIBBY LN. – All // BRANDY LN. - All 
,,OAKLAND,3-29,OAK ST. #1,210,OAK ST. (from RR TRACKS to KILTON ST.) - ODD #s // MAPLE ST. - All // GRANITE ST. (from RR TRACKS to PINE ST.) - All // PINE ST. - All // KILTON ST. - All // KILTON PL. - All 
,,OAKLAND,3-30,OAK ST. #2,100,OAK ST. (from KILMER AVE. to OAK AVE.) - ODD #s // HERN AVE. - All // OAK AVE. - All // WOODBINE ST. - All // BELVOIR AVE. - All // VINSON ST. - All // GREYLOCK AVE. - All // GREENHILL ST. - All 
,,OAKLAND,3-31,OAK ST. #3,60,OAK ST. (from WALES to HIGHLAND STS.) - EVEN #s // OAK ST. (from OAK AVE. to HIGHLAND ST.) - ODD #s // MINERAL ST. - All 
,,OAKLAND,3-32,KILMER AVE. #1,85,OAK ST. (from KILTON ST. to KILMER AVE.)  - ODD #s // KILMER AVE. (from OAK to BLISS STS.) - ODD #s // LOWELL ST. - All // SHERIDAN ST. - All // FRIEND ST. - All 
,,OAKLAND,3-33,KILMER AVE. #2,65,KILMER AVE. (from OAK ST. to HIGHLAND AVE.) - EVEN #s // HIGHLAND AVE. - All // FOSS AVE. - All // WILSON ST. - All // FLOYD AVE. - All // SMITH AVE. - All 
,,OAKLAND,3-34,BRUSHWOOD DR.,80,BRUSHWOOD DR. - All // WINTERGREEN LANE - All // WILDFLOWER RD. - All // LACEY RD. - All // JUNIPER LANE - All // THUNDER RD. - All // ROUTES BEGIN AND END. ALL MEANS BOTH SIDES OF STREET.  THIS IS TO AVOID
,,OAKLAND,3-35,TREMONT ST.,65,TREMONT ST. (from ROUND ST. to the REHOBOTH LINE) - All // PRESERVATION DR. - All // SILVER FOX CIR. \- All // BLUEGRASS LN. - All 
,,WHITTENTON,4-1,COLONIAL ESTATES,150,MEETING HOUSE RD. - All // VALLEY FORGE RD. - All // JOHN ALDEN RD. - All // MINUTEMAN RD. - All // WAMPANOAG RD. - All // PURITAN RD. - All // MUSKET RD. - All // BETSY ROSS RD. - All // PATRIOT RD. - All // SETTLERS RD. - All 
,,WHITTENTON,4-2,WILLOW TERRACE,160,WILLOW TERRACE - All // ABBEY LN. - All // OAK DR. - All // LISA DR. - All // WAVERLY ST. - All // MARCOTTE ST. - All // RUSSELL ST. - All // WASHINGTON ST. (from GARFIELD to BAY STS.) - All 
,,WHITTENTON,4-3,OAK HILL MOBILE PARK,235,LOTHROP ST. (MOBILE HOMES - OAK HILL SIDE) - ODD #s // MAYFLOWER AVE. - All // HICKORY RD. - All // DAISY AVE. - All // ACORN DR. - All // ASH ST. - All // BEECH ST. - All // HOLLY RD. - All // HEMLOCK RD. - All // CYPRESS RD. - All 
,,WHITTENTON,4-4,W. BRITANNIA ST. #1,165,W. BRITANNIA ST. (from BAY to HOPEWELL STS.) - All // PARKIN AVE - All // KING ST. - All // LAWRENCE ST. - All // STATE ST. (from LAWRENCE to BAY STS.) - All // MATTESON LANE - All 
,,WHITTENTON,4-5,W. BRITANNIA ST. #2,95,W. BRITANNIA ST. (from HOPEWELL to WARREN STS.) - All // COTTAGE ST. (from W. BRITANNIA to STATE STS.) - All // STATE ST. (from COTTAGE to LAWRENCE STS.) - All // ROCKLAND ST. - All // CLIFTON ST.  & CONDOS @ THE END - All 
,,WHITTENTON,4-6,COTTAGE ST.,95,COTTAGE ST. (from WHITTENTON to STATE STS.) - All // MARTEL AVE. - All // MEADOW ST. - All // MEADOW PL. - All 
,,WHITTENTON,4-7,W. BRITANNIA ST.,160,W. BRITANNIA ST. (from WARREN to FREMONT STS.) - All // WARREN ST. - All // GUBALA TERR. - All // JUSTIN LN. - All // ELDRIDGE ST. - All // LONG AVE. - All 
,,WHITTENTON,4-8,PROSPECT HILL ST.,140,PROSPECT HILL ST. - All // REDWOOD DR. - All // GREENVIEW LN. - All // LOTHROP ST. (from PROSPECT HILL ST. to MOBILE HOMES) – All // HENRY RD. - All // ARCHER CIR. - All 
,,WHITTENTON,4-9,WHITTENTON ST. #1,175,WHITTENTON ST. (from BAY to WARREN STS.) - All // FIFTH AVE. - All // FOURTH AVE. - All // THIRD AVE. - All // SECOND AVE. - All // FIRST AVE. - All 
,,WHITTENTON,4-10,WHITTENTON ST. #2,190,WHITTENTON ST. (from WARREN ST. to MOREY’S BRIDGE) - All // MILL RIVER CONDOMINIUMS - All // LONGWOOD AVE. - All // LARCHMONT AVE. - All // CLAIREMONT AVE. - All // BRAEMORE RD. - All // LYNNBROOK AVE. - All // TRIMOUNT AVE. - All // MONTCLAIR AVE. - All // EDGEHILL RD. - All // BAYVIEW RD. - All 
,,WHITTENTON,4-11,WASHINGTON ST. #1,200,WASHINGTON ST. (from BROADWAY to JAMES ST.) - All // E. BRITANNIA ST. (from BAY ST. to BROADWAY) - All // PIERCE AVE. - All // BRIGHTMAN ST. - All // ELIZABETH ST. - All // GEN. SHERMAN ST. - All // OXFORD ST. - All // AVON ST. - All // JAMES ST. - All 
,,WHITTENTON,4-12,JACKSON ST.,260,JACKSON ST. (from BAY ST. to BROADWAY) - All // VAILLANCOURT ST. - All // WILSON AVE. - All // VAN BUREN ST. - All // BUTLER AVE. - All // ARTHUR ST. - All // PEARL ST. - All // GARFIELD ST. - All // TAYLOR ST. - All // WASHINGTON ST. (from JACKSON to GARFIELD STS.) - All // PLEASANTVIEW ST. - All // PARKVIEW ST. - All 
,,WHITTENTON,4-13,BAY ST. #1,170,BAY ST. (from BROADWAY TO GREEN ST.) - All // SOUTH AVE. - All // ALBRO AVE. - All // NORTH AVE. - All // MAPLE AVE. - All // GREEN ST. - All // THOMAS ST. - All // HOPEWELL ST. - All 
,,WHITTENTON,4-14,BAY ST. #2,215,BAY ST. (from GREEN to WHITTENTON STS.) - All // JENNY LIND ST. - All // SMITH ST. - All // ALGER AVE. - All // WHITTENTON ST. (from BROADWAY to BAY ST.) - All // WASHINGTON ST. (from JAMES to JACKSON STS.) - All // JACKSON ST. (from BAY to WASHINGTON STS.) - All 
,,WHITTENTON,4-15,BAY ST. #3,175,BAY ST. (from WHITTENTON ST. to BENJAMIN’S) - All // POWERS AVE. - All // MADOR AVE. - All // PLEADWELL ST. - All // RICHARD ST. - All // SUNSET DR. - All // WHITESMITH VILLAGE - All 
,,WHITTENTON,4-16,BAY ST. #4,110,BAY ST. (from BENJAMIN’S to MOREY’S BRIDGE) - ODD #s // HOFFMAN ST. - All // LITTLE ST. - All // BATES ST. - All // MIDDLE ST. - All // LAKEVIEW AVE. - All // LAKEVIEW PL. - All // GIRARD ST. - All 
,,WHITTENTON,4-17,BAY ST. #5,80,BAY ST. (from BENJAMIN’S to MOREY’S BRIDGE) - EVEN #s // KURTS PL. - All // THERESA ST. - All // ANDREW AVE. - All // EMMA AVE. - All // ROBERT ST. - All // NORMAN AVE. - All 
,,WHITTENTON,4-18,BAY ST. #6,110,BAY ST. (from MOREY’S BRIDGE to N. CRANE AVE.) - EVEN #s // BASSETT ST. - All // SUZANNE DR. - All // RYAN CIR. - All // BAYBERRY LANE - All // N. CRANE AVE. - All // ERIN DR. - All 
,,WHITTENTON,4-19,BAY ST. #7,135,BAY ST. (from MOREY’S BRIDGE to FIELD ST.) - ODD #s // EDGEWATER LN. - All // LANDS END CONDOMINIUMS - All // GOWARD RD. - All // DUBLIN DR. - All // FIELD ST. (from BAY ST. to WOODVIEW DR.) - All 
,,WHITTENTON,4-20,FIELD ST.,100,FIELD ST. (from WOODVIEW DR. to SCADDING ST.) - All // WOODVIEW DR. - All // RACHEL DR. - All // JENNA CIR. - All // JACLYN CIR. - All // ILANA CIR. - All // LEAHY ST. - All 
,,WHITTENTON,4-21,SCADDING ST. #1,160,SCADDING ST. (from BAY ST. to BLACKPOND RD.) - All // CLAFFY ST. - All // CLIFF DR. - All // SPINNAKER LANE - All // CONIFER DR. - All // STANLEY DR. - All // HILLSIDE DR. - All // SHORE DR. - All // DUNCAN DR. - All // SEBATTIA DR. - All // SEBATTIA LN. - All // CAL’S CT. - All // LYDIA DR. - All 
,,WHITTENTON,4-22,SCADDING ST. - #2,150,SCADDING ST. (from BLACKPOND RD. to FIELD ST.) - All // BLACKPOND RD. - All // LAKERIDGE DR. - All // WEST LAKE DR. - All // FIELD ST. (from SCADDING ST. to the RAYNHAM LINE) - All // TERIANNE DR. - All // DINIZ DR. - All // STONYBROOK DR. - All 
,,EAST TAUNTON,5-1,HART ST. EXTENSION,100,HART ST. EXTENSION - All // COLONIAL DR. - All // PAUL REVERE TERR. - All // WILLIAMS ST. EXTENSION - All 
,,EAST TAUNTON,5-2,MIDDLEBORO AVE. #1,120,MIDDLEBORO AVE. (from the OVERPASS to PINEHILL ST.) – ODD #s // PINEHILL ST. - All // WOODLAWN ST. - All // GARDEN ST. - All // STEVENS ST. – All // AZALEA ST. – All // SILVIA FARM RD. - All 
,,EAST TAUNTON,5-3,MIDDLEBORO AVE. #2,80,MIDDLEBORO AVE. (from the OVERPASS to RED LN.) - EVEN #s // LEISURE LANE - All // RED LANE - All 
,,EAST TAUNTON,5-4,MIDDLEBORO AVE. #3,65,MIDDLEBORO AVE. (from CASWELL to NEMASKET STS.) - ODD #s // NEMASKET ST. - All // FERRIER ST. - All // CENTER ST. - All // WYNNE ST. - All // SHERBORNE ST. - All // FAIRBANKS AVE. - All // CASWELL ST. (from PINEHILL ST. to FAIRBANKS AVE.) - All 
,,EAST TAUNTON,5-5,MIDDLEBORO AVE. #4,100,MIDDLEBORO AVE. (from RED LN. to LIBERTY ST.) - EVEN #s // MIDDLEBORO AVE. (from NEMASKET to LIBERTY STS.) - ODD #s // CULLEN ST. - All // WELLESLEY CIR. - All // JEFFS WAY - All // BUTLER AVE. - All 
,,EAST TAUNTON,5-6,MIDDLEBORO AVE. #5,50,OLD COLONY AVE. – All // CAMPBELLS CT. - All // BATTLE ROW - All 
,,EAST TAUNTON,5-7,OLD COLONY AVE.,120,MIDDLEBORO AVE. (from LIBERTY ST. to SHERWOOD AVE.) - All // SHERWOOD AVE. - All // S.PRECINCT ST. (from CASWELL ST. to MIDDLEBORO AVE.) - All 
,,EAST TAUNTON,5-8,DOLAN CIR.,115,DOLAN CIR. - All // MARGARET RD. - All // VIKING ST. - All // SEAVER ST. - All // COYLE ST. - All // N. PRECINCT ST. - All 
,,EAST TAUNTON,5-9,MIDDLEBORO AVE. #6,130,MIDDLEBORO AVE. (from SHERWOOD AVE. to BIRCHWOOD DR.) - All // GATSBY DR. - All // PARK PL. - All // BIRCHWOOD DR. - All // RICHMOND ST. - All // RIVER ST. - All 
,,EAST TAUNTON,5-10,CASWELL ST. #1,150,CASWELL ST. (from FAIRBANKS AVE. to LIBERTY ST.) - All // PAT REE DR. - All // LIBERTY ST. - All // BROOKSIDE AVE. - All // O’CONNOR ST. - All // ROUTES BEGIN AND END. ALL MEANS
,,EAST TAUNTON,5-11,GRACE MEADOW DR.,100,GRACE MEADOW DR - All // ERIN RD. - All // TANIA DR. - All 
,,EAST TAUNTON,5-12,MOCKINGBIRD WAY,190,MOCKINGBIRD WAY - All // CORMORANT ST. - All // BLACKBIRD LANE - All // PUFFIN WAY - All // WREN ST. - All // HUMMINGBIRD LANE - All // BLUEJAY LN. - All // KINGFISHER WAY - All // CARDINAL CIR. - All // SANDPIPER DR. - All // DOVE DR. - All // SWAN DR. - All // ROUTES BEGIN AND END. ALL MEANS BOTH SIDES OF STREET. THIS IS TO AVOID
,,EAST TAUNTON,5-13,POWHATTEN ESTATES,195,SAKONET AVE. - All // POWHATTEN DR. - All // TYASHK ST. - All // METACOMET AVE. - All // POCASSET PL. - All // MEESHAWN AVE. - All // WAMPUM RD. - All // BEAR PAW TRAIL - All // BUFFALO WAY - All // CHESHIRE DR. - All // CAMBRIDGE ST. - All // WINDSOR CT.  - All 
,,EAST TAUNTON,5-14,CASWELL ST. #2,235,CASWELL ST. (from LIBERTY to STAPLES ST.) - All // STAPLES ST. – All // FIDDLERS WAY - All // COTUIT DR. - All 
,,EAST TAUNTON,5-15,SEEKEL ST.,150,SEEKEL ST. - All // HUTT FOREST - All // NINA WAY - All // KINGMAN ST. (from SEEKEL to S. PRECINCT STS.) - All // S. PRECINCT ST. (from KINGMAN to MYRICKS STS.) - All // WOODLAND TRAIL - All 
,,EAST TAUNTON,5-16,CASWELL ST. #3,85,CASWELL ST. (from STAPLES to S. PRECINCT STS.) - All // BETSY RD. - All // SAGAMORE RD. - All // KINGS POND RD. - All // S. PRECINCT ST. (from CASWELL to KINGMAN STS.) - All 
,,EAST TAUNTON,5-17,MYRICKS ST. #1,90,MYRICKS ST. (from ROUTE 140 to KINGMAN ST.) - All // CLAIRE TERR. - All // BIRCH AVE. - All // JOSHUA LN. - All // KINGMAN ST. (from MYRICKS to SEEKEL STS.) - All 
,,EAST TAUNTON,5-18,MYRICKS ST. #2,60,MYRICKS ST. (from KINGMAN to S. PRECINCT STS.) - All // MATTHEWS DR. - All // MEAGHAN CIR. - All // GRACE CIR. - All // RHODE ISLAND RD. - All 
,,EAST TAUNTON,5-19,TURNER ST.,150,TURNER ST. - All // HIGHSTONE ST. - All // WILDERNESS WAY - All // DAVIDS WAY - All // CAINE HILL DR. - All // STRAWBERRY LANE - All // KERRY LN. - All 
,,EAST TAUNTON,5-20,COUNTY ST.,125,COUNTY ST. (from SILVER CITY GALLERIA to BERKLEY LINE) - All // BETTISON CT. - All // HOLLOWAY ST. (LEFT NEAR PACKAGE STORE) - All // HYACINTH ST. - All // DAFFODIL LANE - All // COTLEY RD.\- All 
,,EAST TAUNTON,5-21,DRIFTWOOD ESTATES,75,TYNAN ST. - All // MORRISON RD. - All // ROWLEY AVE- All // 
,,WESTVILLE,6-1,COHANNET ST. #1,165,COHANNET ST. (from PORTER to WINTHROP STS.) - All // PORTER ST. - All // MASON ST. - All // MYRTLE ST. - All // MYRTLE PL. - All // WINTHROP ST. (from RR TRACKS to PORTER ST.) - ODD #s
,,WESTVILLE,6-2,COHANNET ST. #2,110,COHANNET ST. (from WINTHROP ST. to CEMETARY) - All // BARNUM ST. (from COHANNET to CLINTON STS.) - All // MIDLAND RD. - All // CROCKER ST. - All // CLINTON ST. (from BARNUM to WALNUT STS.) - All // WALNUT ST. - All 
,,WESTVILLE,6-3,COHANNET ST. #3,200,COHANNET ST. (from BARNUM to SILVER STS.) - EVEN #s // W. WEIR ST. - All // W. WEIR ST. (EXTENSION) - All // EVERETT ST. - All // GEN. COBB ST. - All // COUCH ST. - All // DALE ST. - All // SILVER ST. (from COUCH to COHANNET STS.) - All // DWINELL ST. - All 
,,WESTVILLE,6-4,COHANNET ST. #4,150,COHANNET ST. (from BARNUM ST. to LUSCOMB RD.) - ODD #s // BROOK ST. - All // SILVER ST. (from COHANNET to WINTHROP STS.) - All // EARL ST. - All // LUSCOMB RD. - All // WINTHROP ST. (from LUSCOMB RD. to COHANNET ST.) - EVEN #s // WILMARTH ST. - All 
,,WESTVILLE,6-5,COHANNET ST. #5,90,COHANNET ST. (from Silver St. to Warner Blvd.) – EVEN #s // HAMLEN ST. - All // APPLEBLOSSOM LN. - All // RED CIR. – All // DIGHTON RD. - ALL
,,WESTVILLE,6-6,COHANNET ST. #6,160,COHANNET ST. (from LUSCOMB RD. to WARNER BLVD.) - ODD #s // WARNER BLVD. - All // ARABIAN DR. – All // MUSTANG DR. – All // APPALOOSA WAY – All // SHETLAND RD. – All // COLT CIR. - All // COHANNET ST. (from WARNER BLVD. to END) - All // AVALON DR. – All // NUTHATCH LN. – All // WESTVILLE TERRACE - All 
,,WESTVILLE,6-7,WINTHROP ST. #1,80,WINTHROP ST. (from PORTER to ANDERSON STS.) - ODD #s // WINTHROP ST. (from LUSCOMB RD. to WARNER BLVD.) - EVEN #s // WINTHROP AVE. - All // WINTHROP PL. - All // CLARENCE AVE. - All 
,,WESTVILLE,6-8,WINTHROP ST. #2,150,WINTHROP ST. (from ANDERSON ST. to FAIRVIEW AVE.) - ODD #s // ANDERSON ST. - All // WHITEHILL ST. - All // FAIRVIEW AVE. - All // ALPINE AVE. - All // LAUREL ST. - All // FLORENCE ST. - All // CROSSMAN ST. - All // KALMAN ST. - All // HIGHLAND ST. (from CROSSMAN to WINTHROP STS.) - EVEN #s // HIGHLAND ST. (from WINTHROP to OAK STS.) - ODD #s
,,WESTVILLE,6-9,WINTHROP ST. #3,45,WINTHROP ST. (from FAIRVIEW AVE. to BILTMORE ST.) - ODD #s // PAR PLACE - All // DEXTER FARM RD. - All // MARSHA BLISS CIR. - All // BILTMORE ST. - All 
,,WESTVILLE,6-10,WINTHROP ST. #4,75,WINTHROP ST. (from WARNER BLVD. to HAROLD ST.) - EVEN #s // HARVARD ST. - All // PARKER TERR. - All // HAROLD ST. - All // S. WALKER ST. (from WINTHROP ST. to DIGHTON LINE) - EVEN #s
,,WESTVILLE,6-11,N. WALKER ST.,150,WINTHROP ST. (from BILTMORE to N. WALKER STS.) - ODD #s // N. WALKER ST. - All // ROCKY WOODS ST. (SECTION OFF N. WALKER ST.) - All // FALL BROOK ESTATES - All // GLEBE ST. - All // GLEBE CT. - All 
,,WESTVILLE,6-12,WINTHROP ST. #5,120,WINTHROP ST. (from N. WALKER ST. to RANGE AVE.) - ODD #s // WINTHROP LN. - All // RANGE AVE. - All // OVERLOOK DR. - All // PINERIDGE CIR. - All // ROCKY WOODS ST. (from RANGE AVE. to ANDREA LN.) - All // ALEXANDRA DR. - All // ANDREA LN. - All 
,,WESTVILLE,6-13,WINTHROP ST. #6,100,WINTHROP ST. (from RANGE AVE. to INDIAN RIDGE) - ODD #s // WINTHROP HEIGHTS DR. - All // ALANITA DR. - All // CRAVEN CT. - All // INDIAN RIDGE CONDOMINIUMS - All // WINTHROP ST. (from BURT to HAROLD STS.) – EVEN #s
,,WESTVILLE,6-14,BURT ST.  #1,60,BURT ST. (from WINTHROP to ROCKY WOODS STS.) - All // GULLIVER ST. - All // ROCKY WOODS ST. (from BURT ST. to ANDREA LN.) - All 
,,WESTVILLE,6-15,BURT ST. #2,95,BURT ST. (from ROCKY WOODS ST. TO GREENWOOD CIR.) - All // LANEWAY ST. - All // CHRIS DR. - All // SARA DR. - All // GREENWOOD CIR. - All // LEHNER DR. - All 
,,WESTVILLE,6-16,BURT ST. #3,100,BURT ST. (from GREENWOOD CIR. to GLEBE ST.) - All // KIMBERLY RD. - All // BRIAR RD. - All // DEERHILL RD. - All // CAROLINE DR. - All // KRISTIN DR. - All // ANNE DR. - All 
,,WESTVILLE,6-17,BURT ST. #4,125,BURT ST. (from GLEBE to TREMONT STS.) - All // GLEBE ST. (SECTIONS OFF BURT ST.) - All // JAMES LUTHER DR. - All // FOREST HILL DR. - All // MORGAN DR. - ALL QUARTER CT. - ALL
,,WESTVILLE,6-18,S. WALKER ST.,110,S. WALKER ST.(WINTHROP ST. TO DIGHTON LINE)-ODD #s // NICHOLS DR. - All // WAGON WHEEL RD. - All // ARBOR WAY - ALL VILLAGE CIR. - All // FIELDSTONE DR. - All 
,,WESTVILLE,6-19,HIGHLAND ST.,140,HIGHLAND ST. (from CROSSMAN to FISHER STS.) - All // COURTLAND PL. - All // FISHER ST. - All // THREE MILE RIVER LN. - All // QUEQUECHAN RD. - All // MACINTOSH LN. - All 
,,WESTVILLE,6-20,DIGHTON AVE.,160,DIGHTON AVE. - All // CIERA CIR. - All // BAKER RD. (WEST) - All // SILVERSMITH WAY - All // JEANINE CIR. - All // CHRISTINE LN. - All // VICTORIA CIR. - All // JERRY WAY - All 

